NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Guasabra,Santafe de Antioquia,Antioquia,3.863,4.409,5.782,9.652,12.34,9.087,8.772,7.608,10.0,13.43,10.34,6.5,101.78299999999999
Gabino,Santo Domingo,Antioquia,11.66,12.05,16.0,22.22,26.55,21.27,20.5,22.44,24.11,25.77,19.38,15.05,237.00000000000003
Guayabito,Santo Domingo,Antioquia,14.7,15.16,17.79,23.13,25.3,21.53,20.06,22.56,24.6,26.36,23.3,17.89,252.38
Sto Domingo,Santo Domingo,Antioquia,11.75,12.81,15.68,21.62,23.43,17.93,17.0,19.87,22.81,24.18,19.75,14.6,221.43
Sto Domingo,Santo Domingo,Antioquia,13.9,13.42,18.82,22.91,23.86,21.6,19.13,21.47,23.5,25.08,22.04,16.86,242.58999999999997
Brisas Las,Segovia,Antioquia,,,,,,,,,,,,,
Palma De Coco La,Segovia,Antioquia,6.09,6.772,7.363,13.78,16.52,14.6,15.0,16.82,16.0,18.13,15.31,10.6,156.98499999999999
Rio Claro,Sonson,Antioquia,,,,,,,,,,,,,
San Miguel,Sonson,Antioquia,6.833,9.333,11.5,16.85,16.9,12.6,11.0,12.05,15.8,18.9,15.21,10.77,157.746
Sonson,Sonson,Antioquia,14.76,15.86,18.63,21.83,22.6,18.6,14.8,17.44,22.1,23.64,22.43,17.2,229.89
Nacional Gja La,Tamesis,Antioquia,11.36,12.54,15.31,19.86,21.54,16.68,13.95,16.27,20.81,22.77,21.09,15.0,207.18
Barro Blanco,Taraza,Antioquia,6.0,7.071,8.0,15.87,18.81,17.68,18.87,19.87,17.25,20.5,17.25,10.81,177.981
Playalta,Taraza,Antioquia,8.066,7.6,7.5,15.21,20.86,18.73,19.06,18.6,19.23,19.13,16.33,9.533,179.84899999999996
Otramina,Titiribi,Antioquia,6.866,7.58,10.16,14.82,17.3,14.06,11.96,14.54,17.33,17.82,14.93,8.266,155.632
Matanzas,Toledo,Antioquia,4.5,5.13,7.608,14.56,21.47,20.68,20.17,19.82,21.26,21.81,16.13,8.5,181.638
Eupol,Turbo,Antioquia,4.888,3.833,4.647,8.789,12.0,11.1,10.94,11.61,11.16,10.5,9.611,9.058,108.136
Prado Mar,Turbo,Antioquia,4.333,3.954,4.045,8.727,12.04,11.13,10.63,11.81,10.27,9.772,8.227,7.045,101.98300000000002
Pueblo Bello,Turbo,Antioquia,3.321,3.214,2.571,6.357,9.214,8.928,8.857,9.75,8.25,8.5,6.857,4.714,80.533
Sta Martha,Turbo,Antioquia,5.818,5.409,4.954,10.9,15.54,15.38,15.22,15.54,14.18,13.68,11.86,8.818,137.299
Tormento El,Turbo,Antioquia,7.296,8.037,6.75,11.92,15.42,15.0,16.21,16.21,15.28,15.44,13.37,10.83,151.76300000000003
Turbo,Turbo,Antioquia,4.538,5.75,6.937,12.43,16.31,15.62,16.86,17.13,14.26,14.56,13.43,8.5,146.325
Brechon El,Urrao,Antioquia,8.0,9.392,12.7,17.6,20.85,16.25,13.55,16.07,18.75,20.85,17.96,11.6,183.572
Clarita La,Urrao,Antioquia,11.82,12.13,14.65,21.43,21.13,15.69,14.21,14.86,19.13,22.0,20.95,15.21,203.21
Roble El,Urrao,Antioquia,15.0,13.13,13.95,19.62,22.95,19.04,15.91,17.79,21.41,25.37,22.91,17.2,224.27999999999997
Urrao,Urrao,Antioquia,10.76,12.26,13.73,20.69,22.57,19.5,17.07,17.56,21.92,24.15,21.38,14.19,215.78
Pto Raudal,Valdivia,Antioquia,9.416,9.083,10.75,17.72,22.16,21.25,20.7,20.84,21.08,22.92,20.82,15.75,212.48900000000003
Pto Valdivia Alert,Valdivia,Antioquia,8.05,9.85,9.052,16.7,20.55,19.9,21.31,20.95,20.68,21.26,18.94,12.2,199.44199999999998
Sta Isabel,Valdivia,Antioquia,15.82,15.51,17.32,22.82,26.64,25.28,25.78,25.75,24.92,26.88,24.26,18.77,269.75
Tesoro El,Valdivia,Antioquia,7.157,8.526,10.38,17.31,21.72,19.88,20.05,19.47,19.63,20.33,18.94,11.77,195.16299999999998
Tigre El,Vegachi,Antioquia,4.586,6.206,8.655,15.59,17.13,14.92,14.13,16.89,18.17,17.75,13.79,7.071,154.88799999999998
Vegachi,Vegachi,Antioquia,6.26,8.608,10.77,19.6,22.34,17.95,18.04,19.91,21.66,22.22,16.9,10.0,194.258
Bolombolo Alertas,Venecia,Antioquia,5.85,6.2,8.2,12.6,15.1,13.9,12.5,13.55,15.45,14.73,12.68,7.631,138.391
Rosario El,Venecia,Antioquia,13.3,13.88,16.96,21.23,23.46,18.3,15.23,18.53,21.42,25.11,22.57,17.15,227.14000000000001
Buchado,Vigia del Fuerte,Antioquia,10.48,7.709,7.935,11.96,14.48,14.51,13.06,14.1,14.66,12.96,14.38,11.77,148.00400000000002
