NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Campo De La Cruz,Campo de La Cruz,Atlantico,11.03,11.13,23.37,83.11,142.5,115.4,122.5,112.5,136.8,146.5,84.24,27.98,1017.06
Candelaria,Candelaria,Atlantico,18.39,13.58,20.67,124.1,167.9,122.6,123.9,189.9,203.0,187.3,107.8,42.3,1321.44
Lena,Candelaria,Atlantico,5.793,13.35,25.85,75.54,139.2,113.4,104.6,120.4,142.3,146.5,101.8,34.63,1023.3629999999999
Juan de Acosta,Juan de Acosta,Atlantico,0.906,0.662,1.563,33.52,90.99,109.4,86.78,107.1,169.6,181.2,104.3,23.07,909.091
Limon El,Manati,Atlantico,3.934,8.196,15.0,55.24,146.1,104.4,96.61,129.3,133.6,148.9,88.27,27.89,957.44
Normal Manati,Manati,Atlantico,10.59,17.09,22.26,85.87,165.5,121.0,101.7,132.3,139.8,141.2,96.84,26.99,1061.14
Hibacharo,Piojo,Atlantico,3.49,0.766,8.85,40.85,142.4,109.4,77.88,115.3,163.5,214.5,107.8,23.45,1008.1859999999999
Piojo,Piojo,Atlantico,3.873,1.16,11.54,50.96,131.5,106.8,95.08,132.0,198.5,239.6,163.1,33.79,1167.903
Polonuevo,Polonuevo,Atlantico,7.689,2.706,10.58,67.8,144.0,137.1,133.5,154.8,170.8,192.9,108.5,18.58,1148.955
Ponedera,Ponedera,Atlantico,2.492,9.144,13.34,72.66,99.46,104.0,106.7,140.3,161.2,158.3,99.7,26.03,993.326
Pto Giraldo,Ponedera,Atlantico,5.177,5.168,14.15,74.85,120.8,112.5,102.8,121.0,164.8,187.7,104.5,36.16,1049.605
Pto Colombia,Puerto Colombia,Atlantico,0.33,0.0,0.73,15.73,85.94,59.15,51.32,87.69,139.8,187.8,121.5,9.736,759.726
Cabecera Bartolo,Repelon,Atlantico,6.609,7.545,11.76,68.86,130.0,104.0,73.62,107.5,108.5,153.0,95.51,23.25,890.154
Cabecera El Polvar,Repelon,Atlantico,5.718,4.15,18.06,49.79,126.3,84.0,56.75,103.4,99.85,154.7,73.22,26.96,802.8980000000001
Cabecera Henequen,Repelon,Atlantico,5.981,4.727,9.171,59.06,122.9,97.62,72.5,99.18,102.5,158.1,87.15,15.66,834.549
Casa de Bombas,Repelon,Atlantico,6.931,5.463,10.16,50.4,118.6,93.8,84.52,108.3,106.7,148.7,75.9,14.76,824.234
Loma Grande,Repelon,Atlantico,23.32,17.79,12.76,67.53,154.1,118.5,80.56,133.8,136.5,207.1,79.59,27.75,1059.3
Repelon,Repelon,Atlantico,6.21,6.746,13.73,57.17,114.0,103.9,61.02,110.9,114.0,157.7,97.99,23.84,867.206
Campanos Los,Sabanalarga,Atlantico,14.95,12.06,23.19,71.53,164.4,120.3,155.1,193.6,145.7,188.4,97.78,36.48,1223.49
Sabanalarga,Sabanalarga,Atlantico,10.38,12.16,33.18,84.61,149.2,121.9,130.5,145.6,174.4,163.3,125.4,28.71,1179.34
Rabon El Hda,Santa Lucia,Atlantico,14.69,8.68,21.87,121.0,159.7,122.8,105.6,130.9,150.3,149.9,111.8,25.02,1122.26
Sta Lucia Gja,Santa Lucia,Atlantico,7.746,12.17,22.99,76.73,144.3,117.2,87.05,116.2,122.6,167.2,75.98,30.73,980.8960000000002
Apto E Cortissoz,Soledad,Atlantico,1.173,0.43,1.246,24.37,115.9,84.62,67.48,106.7,154.3,164.3,74.32,26.98,821.819
San Pedrito Alerta,Suan,Atlantico,11.44,9.09,27.98,79.81,163.3,133.9,106.5,139.6,111.0,154.2,94.34,20.04,1051.2
Usiacuri,Usiacuri,Atlantico,7.716,5.116,8.623,61.44,132.1,125.4,95.08,125.1,153.1,128.7,93.24,26.22,961.835
Acdto Bosa,Bogota DC,Bogota D.C.,18.07,23.8,48.1,81.68,72.92,50.68,31.08,50.81,57.25,83.59,81.25,31.17,630.4
Apto Eldorado P1-2,Bogota DC,Bogota D.C.,29.4,43.94,65.55,101.4,92.83,54.05,42.91,46.2,72.06,106.4,89.58,52.43,796.75
Apto Guaymaral,Bogota DC,Bogota D.C.,28.84,47.85,65.43,100.5,89.85,54.05,39.42,41.24,65.74,99.06,85.02,45.7,762.7
Australia,Bogota DC,Bogota D.C.,21.92,50.02,71.96,94.29,168.3,143.5,158.8,123.9,94.6,120.7,79.32,38.51,1165.82
Bocagrande,Bogota DC,Bogota D.C.,33.7,57.1,72.0,162.7,184.6,214.1,213.5,192.6,150.0,122.5,119.0,61.32,1583.12
Cerro de Suba,Bogota DC,Bogota D.C.,40.01,56.75,76.28,125.4,103.1,50.08,41.75,47.01,68.75,121.8,99.66,61.76,892.35
Cisaca,Bogota DC,Bogota D.C.,33.49,54.6,70.4,133.3,164.3,177.0,186.5,145.4,117.2,130.5,118.3,66.75,1397.74
Contador,Bogota DC,Bogota D.C.,46.98,86.4,103.1,134.4,99.86,43.2,32.39,36.08,57.4,120.3,112.3,92.55,964.96
Delirio,Bogota DC,Bogota D.C.,46.57,61.72,89.61,98.76,115.2,129.2,146.4,112.3,77.36,106.4,104.0,74.75,1162.27
Eldorado Didactica,Bogota DC,Bogota D.C.,31.11,42.43,69.96,114.9,95.52,50.6,40.56,46.81,68.4,104.2,98.04,53.91,816.44
Enmanuel D Alzon,Bogota DC,Bogota D.C.,48.17,68.01,84.02,104.2,97.54,39.85,28.28,41.96,62.16,116.6,109.3,76.23,876.32
